id,concat,color,latitude,longitude,upfa,trimestre,estatus,pagores,c,p
121228,PAX 121228,Verde [< 180 Días],19.32204844,-98.22294872,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90100,MEXICO
109326,PAX 109326,Verde [< 180 Días],19.07048385,-98.21812625,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72060,MEXICO
105779,PAX 105779,Verde [< 180 Días],19.04364065,-98.21591813,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72410,MEXICO
108265,PAX 108265,Verde [< 180 Días],19.04464065,-98.21491813,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72410,MEXICO
117335,PAX 117335,Verde [< 180 Días],19.04564065,-98.21391813,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72410,MEXICO
108455,PAX 108455,Verde [< 180 Días],19.02050156,-98.21236323,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72440,MEXICO
116191,PAX 116191,Verde [< 180 Días],19.02150156,-98.21136323,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72440,MEXICO
116517,PAX 116517,Verde [< 180 Días],19.10035629,-98.21628865,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72100,MEXICO
118966,PAX 118966,Verde [< 180 Días],19.03001344,-98.21522839,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72754,MEXICO
118399,PAX 118399,Verde [< 180 Días],18.99642625,-98.21081025,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72587,MEXICO
109525,PAX 109525,Verde [< 180 Días],19.06566842,-98.20592867,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72090,MEXICO
116045,PAX 116045,Verde [< 180 Días],19.26735324,-98.21284924,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,90193,MEXICO
107369,PAX 107369,Verde [< 180 Días],19.01290816,-98.20984268,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72580,MEXICO
116771,PAX 116771,Verde [< 180 Días],19.01390816,-98.20884268,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72580,MEXICO
117717,PAX 117717,Verde [< 180 Días],19.01490816,-98.20784268,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72580,MEXICO
118749,PAX 118749,Verde [< 180 Días],19.01590816,-98.20684268,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72580,MEXICO
119147,PAX 119147,Verde [< 180 Días],19.01690816,-98.20584268,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72580,MEXICO
107754,PAX 107754,Verde [< 180 Días],19.07618761,-98.21175102,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72040,MEXICO
116633,PAX 116633,Verde [< 180 Días],19.06677625,-98.21104064,DIC [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72070,MEXICO
107994,PAX 107994,Verde [< 180 Días],26.00028116,-98.21017923,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88787,MEXICO
108418,PAX 108418,Verde [< 180 Días],26.00128116,-98.20917923,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,88787,MEXICO
106316,PAX 106316,Verde [< 180 Días],18.9861383,-98.20683022,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72590,MEXICO
106967,PAX 106967,Verde [< 180 Días],18.9871383,-98.20583022,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72590,MEXICO
117072,PAX 117072,Verde [< 180 Días],18.9881383,-98.20483022,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72590,MEXICO
118514,PAX 118514,Verde [< 180 Días],18.9891383,-98.20383022,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72590,MEXICO
121860,PAX 121860,Verde [< 180 Días],18.9901383,-98.20283022,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72590,MEXICO
107352,PAX 107352,Verde [< 180 Días],19.25655878,-98.2026892,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,90185,MEXICO
105534,PAX 105534,Verde [< 180 Días],19.03395892,-98.19837515,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72530,MEXICO
106648,PAX 106648,Verde [< 180 Días],19.03495892,-98.19737515,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72530,MEXICO
105976,PAX 105976,Verde [< 180 Días],19.01967489,-98.19040821,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72570,MEXICO
116967,PAX 116967,Verde [< 180 Días],19.02067489,-98.18940821,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72570,MEXICO
105698,PAX 105698,Verde [< 180 Días],19.0468363,-98.1993873,OCT [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72000,MEXICO
115461,PAX 115461,Verde [< 180 Días],19.0478363,-98.1983873,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72000,MEXICO
120016,PAX 120016,Verde [< 180 Días],19.0488363,-98.1973873,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72000,MEXICO
120327,PAX 120327,Verde [< 180 Días],19.0498363,-98.1963873,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72000,MEXICO
117135,PAX 117135,Verde [< 180 Días],19.10075296,-98.1963377,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72014,MEXICO
119107,PAX 119107,Verde [< 180 Días],19.10175296,-98.1953377,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72014,MEXICO
119608,PAX 119608,Verde [< 180 Días],19.10275296,-98.1943377,FEB [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72014,MEXICO
569,PAX 569,Verde [< 180 Días],19.04887568,-98.1978622,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72161,MEXICO
117709,PAX 117709,Verde [< 180 Días],19.06721994,-98.19434063,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72080,MEXICO
112031,PAX 112031,Verde [< 180 Días],19.02101001,-98.19557008,NOV [2019],4Q 2019,Inactivo,Registrado en 4Q 2019,72540,MEXICO
121888,PAX 121888,Verde [< 180 Días],19.02201001,-98.19457008,MAR [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72540,MEXICO
117071,PAX 117071,Verde [< 180 Días],19.03400394,-98.19173997,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72510,MEXICO
117106,PAX 117106,Verde [< 180 Días],19.03500394,-98.19073997,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72510,MEXICO
117732,PAX 117732,Verde [< 180 Días],19.31722594,-98.19262455,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90800,MEXICO
116982,PAX 116982,Verde [< 180 Días],19.28062064,-98.19426292,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,90830,MEXICO
116965,PAX 116965,Verde [< 180 Días],19.03471078,-98.19122238,ENE [2020],1Q 2020,Inactivo,Registrado en 1Q 2020,72500,MEXICO
