No tarea,tipo,Territorio,Gestor,Estado,Localidad,Folio,FCO,NOMPRO,CLV_UBICACION,nombre,USUARIO,ID_UBICACION,TIPO_ASIGNACION,FECHA_ASIGNACION,HORA_ASIGNACION,id_asig,Latitude,Longitude,Folio,FCO,dias
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TAPACHULA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,3144,BA SYR TAPACHULA (3144),PAX87858,121384,TOMADA POR USUARIO,01/04/2020,14:12:00,1153348,14.908995,-92.26597,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TAPACHULA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5908,BA MEGA TAPACHULA (5908),PAX87858,119375,TOMADA POR USUARIO,01/04/2020,14:11:30,1153487,14.909509,-92.261829,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TAPACHULA,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9936,BA MEGA DIAZ ORDAZ TAPACHULA (9936),PAX87858,121359,TOMADA POR USUARIO,01/04/2020,14:12:23,1153760,14.904483,-92.24781,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,1397,BA EKT TUXTLA GTZ 3 CENTRO (1397),PAX49114,119456,TOMADA POR USUARIO,01/04/2020,12:52:04,1153183,16.745178,-93.110969,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4407,DAZ POLIFORUM (4407),PAX106439,119502,TOMADA POR USUARIO,01/04/2020,12:52:07,1153833,16.748659,-93.080618,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,4691,BA PRESTA PRENDA TUXTLA GUTIERREZ (4691),PAX106439,118371,TOMADA POR USUARIO,01/04/2020,12:52:30,1153848,16.746231,-93.11803,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,5606,BA PRESTA PRENDA PLAZA DE LAS AMERICAS (5606),PAX98082,118328,TOMADA POR USUARIO,01/04/2020,12:53:55,1153909,16.762514,-93.140362,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,6527,BA EKT ALBINO CORZO CHIAPAS (6527),PAX106439,119114,TOMADA POR USUARIO,01/04/2020,12:52:17,1153544,16.749038,-93.090264,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,8206,BA EKT TUXTLA GTZ 2 3A SUR OTE (8206),PAX98082,119459,TOMADA POR USUARIO,01/04/2020,12:53:34,1153604,16.750103,-93.11598,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9554,BA MEGA CALZADA SUMIDERO TUXTLA (9554),PAX49114,119960,TOMADA POR USUARIO,01/04/2020,12:51:51,1153670,16.775779,-93.101311,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9565,BA MEGA 1 SUR PONIENTE TUXTLA G (9565),PAX106439,157146,TOMADA POR USUARIO,01/04/2020,12:52:49,1153674,16.753796,-93.124344,200300661,24/04/2020,1
1,Sin Terminar,Sur,Sur 2,CHIAPAS,TUXTLA GUTIERREZ,200300661,24/04/2020,En abril descubre cuánto vale tu prenda de oro,9661,BA EKT TUXTLA GUTIERREZ 4 CENT (9661),PAX98082,119460,TOMADA POR USUARIO,01/04/2020,12:53:43,1153684,16.753988,-93.116291,200300661,24/04/2020,1
